,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
295,uri,http://www.wikidata.org/entity/Q6558381,en,literal,Lisa Russ Spaar
296,uri,http://www.wikidata.org/entity/Q6680396,en,literal,Loren Lomasky
297,uri,http://www.wikidata.org/entity/Q6757078,en,literal,Marcia A. Invernizzi
298,uri,http://www.wikidata.org/entity/Q16226607,en,literal,Dennis Ippolito
299,uri,http://www.wikidata.org/entity/Q16525952,en,literal,John A. Stankovic
300,uri,http://www.wikidata.org/entity/Q16728701,en,literal,Nancy E. Dunlap
301,uri,http://www.wikidata.org/entity/Q16729803,en,literal,Frederick M. Hess
302,uri,http://www.wikidata.org/entity/Q16729867,en,literal,LaVahn Hoh
303,uri,http://www.wikidata.org/entity/Q16732886,en,literal,David Morris
304,uri,http://www.wikidata.org/entity/Q16735248,en,literal,Risa L. Goluboff
305,uri,http://www.wikidata.org/entity/Q16744952,en,literal,Doris Kuhlmann-Wilsdorf
306,uri,http://www.wikidata.org/entity/Q310781,en,literal,James Joseph Sylvester
307,uri,http://www.wikidata.org/entity/Q312279,en,literal,Tony Judt
308,uri,http://www.wikidata.org/entity/Q452145,en,literal,Ann Beattie
309,uri,http://www.wikidata.org/entity/Q464371,en,literal,Maryse Condé
310,uri,http://www.wikidata.org/entity/Q467312,en,literal,Cora Diamond
311,uri,http://www.wikidata.org/entity/Q30323550,en,literal,Vanessa L. Ochs
312,uri,http://www.wikidata.org/entity/Q30337723,en,literal,Denis Nekipelov
313,uri,http://www.wikidata.org/entity/Q30743874,en,literal,Timothy W. Clark
314,uri,http://www.wikidata.org/entity/Q30830643,en,literal,Anna Pomés
315,uri,http://www.wikidata.org/entity/Q35351280,en,literal,Jasmin Darznik
316,uri,http://www.wikidata.org/entity/Q36490473,en,literal,Helen Matthews Lewis
317,uri,http://www.wikidata.org/entity/Q37369558,en,literal,Jason A. Papin
318,uri,http://www.wikidata.org/entity/Q348812,en,literal,Vamik Volkan
319,uri,http://www.wikidata.org/entity/Q355793,en,literal,James Alan McPherson
320,uri,http://www.wikidata.org/entity/Q366340,en,literal,Fred Singer
321,uri,http://www.wikidata.org/entity/Q372743,en,literal,Alexander Hugh Holmes Stuart
322,uri,http://www.wikidata.org/entity/Q973327,en,literal,Fiske Kimball
323,uri,http://www.wikidata.org/entity/Q979076,en,literal,Peter Matthew Hillsman Taylor
324,uri,http://www.wikidata.org/entity/Q1064064,en,literal,Charles David Allis
325,uri,http://www.wikidata.org/entity/Q1065600,en,literal,Charles N. Brower
