,person.type,person.value,sexuality.xml:lang,sexuality.type,sexuality.value,personLabel.xml:lang,personLabel.type,personLabel.value
257,uri,http://www.wikidata.org/entity/Q6757078,,,,en,literal,Marcia A. Invernizzi
258,uri,http://www.wikidata.org/entity/Q6773495,,,,en,literal,Marshall Brement
259,uri,http://www.wikidata.org/entity/Q6780075,,,,en,literal,Mary Lee Settle
260,uri,http://www.wikidata.org/entity/Q6790361,,,,en,literal,Matthew Crawford
261,uri,http://www.wikidata.org/entity/Q6790687,,,,en,literal,Matthew Holden
262,uri,http://www.wikidata.org/entity/Q6790716,,,,en,literal,Matthew J. Bruccoli
263,uri,http://www.wikidata.org/entity/Q6793373,,,,en,literal,Maurice Nelles
264,uri,http://www.wikidata.org/entity/Q6796702,,,,en,literal,Maya Jasanoff
265,uri,http://www.wikidata.org/entity/Q6814140,,,,en,literal,Melvyn P. Leffler
266,uri,http://www.wikidata.org/entity/Q6818945,,,,en,literal,Meredith Jung-En Woo
267,uri,http://www.wikidata.org/entity/Q6819719,,,,en,literal,Merle Sande
268,uri,http://www.wikidata.org/entity/Q6834055,,,,en,literal,Michael Ryan
269,uri,http://www.wikidata.org/entity/Q6891197,,,,en,literal,Mohamed Gad-el-Hak
270,uri,http://www.wikidata.org/entity/Q6969005,,,,en,literal,Nathan Currier
271,uri,http://www.wikidata.org/entity/Q7141816,,,,en,literal,Pasco Bowman II
272,uri,http://www.wikidata.org/entity/Q7151427,,,,en,literal,Paul Humphreys
273,uri,http://www.wikidata.org/entity/Q7152166,,,,en,literal,Paul Mahoney
274,uri,http://www.wikidata.org/entity/Q7152688,,,,en,literal,Paul Neebe
275,uri,http://www.wikidata.org/entity/Q7153052,,,,en,literal,Paul R. Gross
276,uri,http://www.wikidata.org/entity/Q7176206,,,,en,literal,Peter Ochs
277,uri,http://www.wikidata.org/entity/Q7183255,,,,en,literal,Philip Bourne
278,uri,http://www.wikidata.org/entity/Q7273968,,,,en,literal,R. S. Khare
279,uri,http://www.wikidata.org/entity/Q7291594,,,,en,literal,Randall Ray Rader
280,uri,http://www.wikidata.org/entity/Q7323619,,,,en,literal,Richard Abidin
281,uri,http://www.wikidata.org/entity/Q7341943,,,,en,literal,Robert Bausch
282,uri,http://www.wikidata.org/entity/Q7342032,,,,en,literal,Robert Bennett Bean
283,uri,http://www.wikidata.org/entity/Q7342467,,,,en,literal,Robert Bruner
284,uri,http://www.wikidata.org/entity/Q7343756,,,,en,literal,Robert E. Davis
285,uri,http://www.wikidata.org/entity/Q7344085,,,,en,literal,Robert Empie Rogers
286,uri,http://www.wikidata.org/entity/Q7344600,,,,en,literal,Robert G. Bryant
287,uri,http://www.wikidata.org/entity/Q7345078,,,,en,literal,Robert H. McBride
288,uri,http://www.wikidata.org/entity/Q7345769,,,,en,literal,Robert I. Webb
289,uri,http://www.wikidata.org/entity/Q7346360,,,,en,literal,Robert King
290,uri,http://www.wikidata.org/entity/Q7347094,,,,en,literal,Robert M. Berne
291,uri,http://www.wikidata.org/entity/Q7347168,,,,en,literal,Robert M. O'Neil
292,uri,http://www.wikidata.org/entity/Q7348237,,,,en,literal,Robert P. Scharlemann
293,uri,http://www.wikidata.org/entity/Q7349525,,,,en,literal,Robert S. Wood
294,uri,http://www.wikidata.org/entity/Q7365292,,,,en,literal,Ronald Sokol
295,uri,http://www.wikidata.org/entity/Q7373468,,,,en,literal,Roy Wagner
296,uri,http://www.wikidata.org/entity/Q7411289,,,,en,literal,Samuel E. Bodily
297,uri,http://www.wikidata.org/entity/Q7426853,,,,en,literal,Satwant Pasricha
298,uri,http://www.wikidata.org/entity/Q7427319,,,,en,literal,Saul Levmore
299,uri,http://www.wikidata.org/entity/Q7437343,,,,en,literal,Scott T. Acton
300,uri,http://www.wikidata.org/entity/Q7609232,,,,en,literal,Stephen Francis Barker
301,uri,http://www.wikidata.org/entity/Q7609641,,,,en,literal,Stephen K. White
302,uri,http://www.wikidata.org/entity/Q7610057,,,,en,literal,Stephen Mull
303,uri,http://www.wikidata.org/entity/Q7610721,,,,en,literal,Stephen Tuttle
304,uri,http://www.wikidata.org/entity/Q7615091,,,,en,literal,Steven Nock
305,uri,http://www.wikidata.org/entity/Q7693743,,,,en,literal,Ted Snyder
306,uri,http://www.wikidata.org/entity/Q7702090,,,,en,literal,Teresa A. Sullivan
307,uri,http://www.wikidata.org/entity/Q7706889,,,,en,literal,Tetsundo Iwakuni
308,uri,http://www.wikidata.org/entity/Q7790651,,,,en,literal,Thomas Hewitt Key
309,uri,http://www.wikidata.org/entity/Q7804525,,,,en,literal,Tim Wu
310,uri,http://www.wikidata.org/entity/Q7807049,,,,en,literal,Timothy Beatley
311,uri,http://www.wikidata.org/entity/Q7807613,,,,en,literal,Timothy Wilson
312,uri,http://www.wikidata.org/entity/Q7811770,,,,en,literal,Toby Berger
313,uri,http://www.wikidata.org/entity/Q7812299,,,,en,literal,Todd Bullard
314,uri,http://www.wikidata.org/entity/Q7822139,,,,en,literal,Tony Crunk
315,uri,http://www.wikidata.org/entity/Q7922187,,,,en,literal,Vernon McCasland
316,uri,http://www.wikidata.org/entity/Q7945359,,,,en,literal,William Bradford Wilcox
317,uri,http://www.wikidata.org/entity/Q7945848,,,,en,literal,W. Nathaniel Howell
318,uri,http://www.wikidata.org/entity/Q7945941,,,,en,literal,W. Rice Warren
319,uri,http://www.wikidata.org/entity/Q7964381,,,,en,literal,Walter Broadnax
320,uri,http://www.wikidata.org/entity/Q8004841,,,,en,literal,William B. Quandt
321,uri,http://www.wikidata.org/entity/Q8012412,,,,en,literal,William Holding Echols
